File Name,Attributes
chair1.jpg,"[“legs”, “rectangular surface”, “black”]"
chair2.jpg,"[“legs”, “surface”, “arm rests”, “blue”,”green”]"
chair3.jpg,"[“legs”, “surface”, “black”,”wheels”]"
chair4.jpg,"[“legs”, “surface”, “arm rests”, “red”]"
chair5.jpg,"[“legs”, “arm rests”, “surface”, “brown”]"
chair6.jpg,"[“legs”, “rectangular surface”, “arm rests”, “black”]"
chair7.jpg,"[“legs”, “surface”, “arm rests”, “brown”]"
chair8.jpg,"[“legs”, “rectangular surface”, “red”]"
chair9.jpg,"[“legs”, “rectangular surface”, “red”]"
chair10.jpg,"[“legs”, “rectangular surface”, “brown”]"
chair11.jpg,"[“legs”, “rectangular surface”, “white”]"
chair12.jpg,"[“legs”, “rectangular surface”, “beige”]"
chair13.jpg,"[“legs”, “rectangular surface”, “blue”]"
chair14.jpg,"[“legs”, “rectangular surface”, “black”]"
chair15.jpg,"[“legs”, “rectangular surface”, “black”]"
chair16.jpg,"[“legs”, “surface”, “brown”]"
chair17.jpg,"[“legs”, “circular surface”, “brown”]"
chair18.jpg,"[“legs”, “surface”, “beige”]"
chair19.jpg,"[“legs”, “rectangular surface”, “white”]"
chair20.jpg,"[“legs”, “circular surface”, “beige”]"
chair21.jpg,"[“legs”, “wheels”, “rectangular surface”, “arm rests”, “black”]"
chair22.jpg,"[“legs”, “surface”, “arm rests”, “white”]"
chair23.jpg,"[“legs”, “rectangular surface”, “gray”]"
chair24.jpg,"[“legs”, “rectangular surface”, “brown”]"
chair25.jpg,"[“legs”, “rectangular surface”, “arm rests”, “brown”]"
chair26.jpg,"[“legs”, “rectangular surface”, “arm rests”, “gray”]"
chair27.jpg,"[“legs”, “rectangular surface”, “arm rests”, “beige”]"
chair28.jpg,"[“legs”, “rectangular surface”, “arm rests”, “gray”]"
chair29.jpg,"[“legs”, “rectangular surface”, “arm rests”, “wheels”, “purple”]"
chair30.jpg,"[“legs”, “rectangular surface”, “arm rests”, “wheels”, “purple”]"
chair31.jpg,"[“legs”, “rectangular surface”, “arm rests”, “wheels”, “purple”]"
chair32.jpg,"[“legs”, “rectangular surface”, “arm rests”, “orange”]"
chair33.jpg,"[“legs”, “rectangular surface”, “arm rests”, “orange”]"
chair34.jpg,"[“legs”, “rectangular surface”, “pillow”, “arm rests”, “orange”]"
chair35.jpg,"[“circular surface”, “pillows”, “red”]"
chair36.jpg,"[“rectangular surface”, “red”]"
chair37.jpg,"[“legs”, “rectangular surface”, “brown”]"
chair38.jpg,"[“legs”, “surface”, “beige”]"
chair39.jpg,"[“legs”, “surface”, “white”]"
chair40.jpg,"[“legs”, “white”]"
chair41.jpg,"[“legs”, “surface”, “white”]"
chair42.jpg,"[“legs”, “rectangular surface”, “arm rests”, “black”]"
chair43.jpg,"[“legs”, “rectangular surface”, “beige”]"
chair44.jpg,"[“legs”, “surface”, “arm rests”, “brown”]"
chair45.jpg,"[“legs”, “rectangular surface”, “beige”]"
chair46.jpg,"[“legs”, “circular surface”, “arm rests”, “blue”]"
chair47.jpg,"[“legs”, “rectangular surface”, “white”]"
chair48.jpg,"[“legs”, “surface”, “arm rests”, “red”]"
chair49.jpg,"[“rectangular surface”, “beige”]"
chair50.jpg,"[“legs”, “rectangular surface”, “arm rests”, “wheels”, “black”]"
chair51.jpg,"[“leg”, “rectangular surface”, “arm rests”, “red”]"
chair52.jpg,"[“legs”, “rectangular surface”, “pillow”, “slate red”]"
chair53.jpg,"[“legs”, “rectangular surface”, “beige”]"
chair54.jpg,"[“leg”, “surface”, “red”]"
chair55.jpg,"[“leg”, “surface”, “red”]"
chair56.jpg,"[“legs”, “rectangular surface”, “brown”]"
chair57.jpg,"[“leg”, “surface”, “arm rests”, “black”]"
chair58.jpg,"[“legs”, “arm rests”, “wheels”, “black”]"
chair59.jpg,"[“legs”, “surface”, “beige”]"
chair60.jpg,"[“legs”, “rectangular surface”, “blue”]"
chair61.jpg,"[“legs”, “surface”, “black”]"
chair62.jpg,"[“legs”, “arm rests”, “black”]"
chair63.jpg,"[“legs”, “rectangular surface”, “arm rests”, “wheels”, “black”]"
chair64.jpg,"[“legs”, “rectangular surface”, “arm rests”, “wheels”, “black”]"
chair65.jpg,"[“legs”, “rectangular surface”, “black”]"
chair66.jpg,"[“legs”, “arm rest”, “white”]"
chair67.jpg,"[“legs”, “surface”, “arm rest”, “brown”]"
chair68.jpg,"[“legs”, “rectangular surface”, “silver”]"
chair69.jpg,"[“legs”, “turquoise”]"
chair70.jpg,"[“legs”, “surface”, “arm rests”, “wheels”, “beige”]"
chair71.jpg,"[“legs”, “surface”, “arm rests”, “black”]"
chair72.jpg,"[“legs”, “rectangular surface”, “brown”]"
chair73.jpg,"[“legs”, “white”]"
chair74.jpg,"[“legs”, “surface”, “white”]"
chair75.jpg,"[“legs”, “arm rests”, “wheels”, “black”]"
chair76.jpg,"[“legs”, “rectangular surface”, “arm rest”, “wheels”, “black”]"
chair77.jpg,"[“legs”, “black”]"
chair78.jpg,"[“legs”, “rectangular surface”, “arm rest”, “wheels”, “black”]"
chair79.jpg,"[“legs”, “rectangular surface”, “arm rests”, “wheels”, “black”]"
chair80.jpg,"[“legs”, “surface”, “blue”]"
chair81.jpg,"[“legs”, “rectangular surface”, “brown”]"
chair82.jpg,"[“legs”, “rectangular surface”, “beige”]"
chair83.jpg,"[“legs”, “rectangular surface”, “brown”]"
chair84.jpg,"[“legs”, “rectangular surface”, “beige”]"
